Comment,Description,Designator,Footprint,LibRef,Quantity

"100nF","","C1, C9","C_0805","C_0805","2"
"1mF","","C2, C4, C7, C13","C_0805","C_0805","4"
"10mF","","C3, C6, C16","C_0805","C_0805","3"
"100nF","","C5, C8, C10, C11, C12, C15, C17, C18","C_0805","C_0805","8"
"22mF","","C14","C_0805","C_0805","1"
"STM32f103c8t6","","DD1","LQFP48","STM32f103c8t6","1"
"LTC4054ES5-4.2","Integrated Circuit","IC1","SOT95P280X100-5N","LTC4054ES5-4.2","1"
"24LC32A-I_SN","Integrated Circuit","IC2","SOIC127P600X175-8N","24LC32A-I_SN","1"
"DH11","Integrated Circuit","IC3","HDRV4W80P0X254_1X4_1200X500X1550P","101020011","1"
"LM75AD,118","Integrated Circuit","IC4","SOIC127P600X175-8N","LM75AD,118","1"
"Micro USB 2.0 Type B","Micro USB 2.0 Type B Horizontal SMT 5 Contacts WR-COM","J1","629105136821","629105136821","1"
"B2B-PH-K-S_LF__SN_","Connector","J2","SHDR2W50P0X200_1X2_590X450X600P","B2B-PH-K-S_LF__SN_","1"
"150080GS75000","LED","LED1, LED2, LED3, LED4, LED5","LEDM2012X80N","150080GS75000","5"
"KLS7-TS6604","","NRST, USR","KLS7-TS6604-5.0-180-B","KLS7-TS6604","2"
"XC6206P182MR","Power Supply","PS1","SOT95P280X130-3N","XC6206P182MR","1"
"TS-1101-C-W","Switch","PWR RES","TS1101CW","TS-1101-C-W","1"
"IRLML2502PBF","MOSFET (N-Channel)","Q1","SOT95P237X112-3N","IRLML2502PBF","1"
"3 kOm","","R1, R10","R_0805","R_0805","2"
"1 kOm","","R2","R_0805","R_0805","1"
"3 kOm","","R3","R_0805","R_0805","1"
"10 kOm","","R4, R7, R11, R12, R13, R14, R15, R16, R20","R_0805","R_0805","9"
"2 kOm","","R5, R9","R_0805","R_0805","2"
"47 kOm","","R6","R_0805","R_0805","1"
"510 kOm","","R8","R_0805","R_0805","1"
"510 Om","","R17, R18","R_0805","R_0805","2"
"10 kOm","","R19, R22","R_0805","R_0805","2"
"100 kOm","","R21","R_0805","R_0805","1"
"IRLML5203TRPBF","??????????, P-????? 30? 3A logic","VT1, VT2","SOT23","IRLML5203TRPBF","2"
"PBS-5","","XP1, XP2","PBS-5","PBS-5","2"
