Altium Designer Pick and Place Locations
C:\coding\Altium\Data_Transmission_Panel\Altium\Project Outputs for Data_Transmission_Panel\Pick Place for Panel.csv

========================================================================================================================
File Design Information:

Date:       25.03.22
Time:       18:43
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Mid X","Mid Y","Rotation","Description"
"Q1","IRLML2502PBF","Top","SOT95P237X112-3N","66.0000","106.6500","90","MOSFET (N-Channel)"
"VT2","IRLML5203TRPBF","Top","SOT23","57.1000","107.4000","90","??????????, P-????? 30? 3A logic"
"R8","510 Om","Top","R_0805","62.4000","107.5000","270",""
"R7","10 kOm","Top","R_0805","60.2000","107.5000","90",""
"R6","47 kOm","Top","R_0805","54.1000","107.4000","90",""
"PWR RES","TS-1101-C-W","Top","TS1101CW","73.7000","107.8000","360","Switch"
"C9","100nF","Top","C_0805","70.8000","103.9000","180",""
"USR","KLS7-TS6604","Top","KLS7-TS6604-5.0-180-B","75.1500","67.4000","90",""
"NRST","KLS7-TS6604","Top","KLS7-TS6604-5.0-180-B","75.7500","99.6000","90",""
"R22","10 kOm","Top","R_0805","82.6000","68.7000","90",""
"C18","100nF","Top","C_0805","79.9000","68.6000","90",""
"C17","100nF","Top","C_0805","83.0000","101.5000","90",""
"R13","10 kOm","Top","R_0805","63.0000","88.8000","90",""
"R16","10 kOm","Top","R_0805","37.4000","79.7000","180",""
"R14","10 kOm","Top","R_0805","66.3000","88.9000","90",""
"IC2","24LC32A-I_SN","Top","SOIC127P600X175-8N","44.5000","68.0000","360","Integrated Circuit"
"C14","22mF","Top","C_0805","67.3000","73.7000","360",""
"C8","100nF","Top","C_0805","55.4000","86.1000","270",""
"R10","3 kOm","Top","R_0805","62.2000","102.4000","270",""
"R9","2 kOm","Top","R_0805","58.2000","102.4000","90",""
"LED3","150080GS75000","Top","LEDM2012X80N","64.2000","102.4000","90","LED"
"LED2","150080GS75000","Top","LEDM2012X80N","60.2000","102.4000","90","LED"
"XP2","PBS-5","Top","PBS-5","58.5800","92.5000","180",""
"XP1","PBS-5","Top","PBS-5","83.0000","91.3400","90",""
"VT1","IRLML5203TRPBF","Top","SOT23","43.2000","77.7000","180","??????????, P-????? 30? 3A logic"
"R21","100 kOm","Top","R_0805","69.2000","63.1000","270",""
"R20","10 kOm","Top","R_0805","58.3000","87.8000","270",""
"R19","10 kOm","Top","R_0805","80.1000","101.5500","90",""
"R18","510 Om","Top","R_0805","83.0000","79.4000","270",""
"R17","510 Om","Top","R_0805","80.8000","79.4000","270",""
"R15","10 kOm","Top","R_0805","62.8000","67.9000","90",""
"R12","10 kOm","Top","R_0805","71.5000","75.0000","180",""
"R11","10 kOm","Top","R_0805","71.5000","76.9000","180",""
"R5","2 kOm","Top","R_0805","45.7000","92.9000","90",""
"R4","10 kOm","Top","R_0805","39.9000","77.7000","90",""
"R3","3 kOm","Top","R_0805","54.0000","102.5000","270",""
"R2","1 kOm","Top","R_0805","42.9000","74.1000","270",""
"R1","3 kOm","Top","R_0805","44.8000","74.1000","90",""
"PS1","XC6206P182MR","Top","SOT95P280X130-3N","43.6000","87.2000","90","Power Supply"
"LED5","150080GS75000","Top","LEDM2012X80N","83.0000","74.2000","90","LED"
"LED4","150080GS75000","Top","LEDM2012X80N","80.8000","74.2000","90","LED"
"LED1","150080GS75000","Top","LEDM2012X80N","56.2000","102.4000","90","LED"
"J1","Micro USB 2.0 Type B","Top","629105136821","47.3000","105.1625","180","Micro USB 2.0 Type B Horizontal SMT 5 Contacts WR-COM"
"J2","B2B-PH-K-S_LF__SN_","BottomLayer","SHDR2W50P0X200_1X2_590X450X600P","39.5000","100.0000","180","Connector"
"IC4","LM75AD,118","Top","SOIC127P600X175-8N","67.5000","69.7000","360","Integrated Circuit"
"IC3","DH11","Top","HDRV4W80P0X254_1X4_1200X500X1550P","37.6000","86.9300","90","Integrated Circuit"
"IC1","LTC4054ES5-4.2","Top","SOT95P280X100-5N","42.0000","94.5000","270","Integrated Circuit"
"DD1","STM32f103c8t6","Top","LQFP48","58.2000","78.6000","0",""
"C16","10mF","Top","C_0805","47.5000","100.0000","90",""
"C15","100nF","Top","C_0805","49.7000","100.0000","90",""
"C13","1mF","Top","C_0805","50.4500","70.0000","180",""
"C12","100nF","Top","C_0805","49.0500","83.1750","360",""
"C11","100nF","Top","C_0805","60.8000","67.9000","90",""
"C10","100nF","Top","C_0805","66.8500","82.1000","180",""
"C7","1mF","Top","C_0805","47.9000","92.9000","90",""
"C6","10mF","Top","C_0805","49.0500","81.1750","360",""
"C5","100nF","Top","C_0805","48.9500","73.3500","360",""
"C4","1mF","Top","C_0805","46.9000","86.7000","90",""
"C3","10mF","Top","C_0805","48.9750","75.2750","360",""
"C2","1mF","Top","C_0805","37.7000","94.2000","180",""
"C1","100nF","Top","C_0805","48.9000","77.4000","180",""
